keywords,timestamp
"Football, Super Bowl, National Football League, New England Patriots, Goodell, Roger, Lady Gaga, Immigration and Emigration, Trump, Donald J",2017-02-02 00:26:16
"Television, Home Box Office, Girls (TV Program), Dunham, Lena, Mamet, Zosia, Kirke, Jemima, Williams, Allison (1988- ), Women and Girls, Writing and Writers",2017-02-02 10:00:24
"Movies, The Comedian (Movie), De Niro, Robert, Hackford, Taylor, Falco, Edie",2017-02-02 10:01:53
"New York City, Groundhogs",2017-02-02 10:57:25
"Travel and Vacations, Swimming, Oceans and Seas, Hawaii",2017-02-02 11:00:03
"Crossword Puzzles",2017-02-02 03:00:33
"",2017-02-02 08:03:02
"Trump, Donald J, Mexico, Border Barriers, Illegal Immigration, Pena Nieto, Enrique, United States International Relations",2017-02-02 08:21:23
"Trump, Donald J, Supreme Court (US), Pence, Mike, Gorsuch, Neil M, United States Politics and Government",2017-02-02 08:21:23
"United States Politics and Government, Appointments and Executive Changes, Supreme Court (US), Gorsuch, Neil M",2017-02-02 08:21:23
"Presidential Election of 2016, Income Inequality, Center for American Progress, Trump, Donald J",2017-02-02 09:02:47
"",2017-02-02 09:30:02
"Foreign Students (in US), China, Education (K-12), Michigan, Weiming Education Group",2017-02-02 10:00:04
"Cooking and Cookbooks, Eggs, Recipes, Chinese-Americans",2017-02-02 10:00:04
"",2017-02-02 10:00:04
"News, Immigration and Emigration, Muslims and Islam, Politics and Government, United States International Relations, Harvard University, Middle East",2017-02-02 16:34:32
"United States Politics and Government, Trump, Donald J, Religion-State Relations, Law and Legislation",2017-02-02 15:20:32
"Police Brutality, Misconduct and Shootings, de Blasio, Bill, Graham, Ramarley, Haste, Richard, Police Department (NYC)",2017-02-02 15:42:19
"Animal Abuse, Rights and Welfare, Lamb, Compassion Over Killing, Superior Farms Pet Provisions LLC, Factory Farming, Video Recordings, Downloads and Streaming, California",2017-02-02 17:08:44
"Movies, I Am Not Your Negro (Movie), Baldwin, James (1924-87), Peck, Raoul, Documentary Films and Programs",2017-02-02 17:39:25
"Banking and Financial Institutions, United States Politics and Government, New York Times, Roosevelt, Franklin Delano, Hitler, Adolf",2017-02-02 17:48:00
"United States Politics and Government, United States International Relations, Trump, Donald J, Obama, Barack, Israel, Israeli Settlements, Russia, Crimea (Ukraine), Iran, Embargoes and Sanctions",2017-02-02 18:11:47
"United States Economy, Euro (Currency), US Dollar (Currency), International Trade and World Market, Mnuchin, Steven T, Trump, Donald J",2017-02-02 18:19:34
"Conventions, Fairs and Trade Shows, Wines, Agriculture and Farming, Sacramento (Calif), Airstrike Bird Control LLC",2017-02-02 19:22:14
"Restaurants, Boerum Hill (Brooklyn, NY), Gumbo Bros (Brooklyn, NY, Restaurant)",2017-02-02 19:36:34
"Refugees and Displaced Persons, Immigration and Emigration, Muslims and Islam, United Nations, Freedom of Religion, United States Politics and Government, United States International Relations",2017-02-02 20:25:40
"Soccer, Concussions, Brain",2017-02-02 20:54:01
"Appointments and Executive Changes, United States Politics and Government, Conflicts of Interest, Solicitors General, Supreme Court (US), New York Times, Gorsuch, Neil M, Katyal, Neal K",2017-02-02 22:25:11
"Movies, The Space Between Us (Movie), Butterfield, Asa, Oldman, Gary, Robertson, Britt (1990- )",2017-02-02 23:07:19
"Australia, Trump, Donald J, United States International Relations, Refugees and Displaced Persons, Tillerson, Rex W",2017-02-02 23:33:22
"Pregnancy and Childbirth, Women and Girls, Heart, Diet and Nutrition",2017-02-02 23:38:12
"Marijuana, Pregnancy and Childbirth, Drug Abuse and Traffic",2017-02-03 00:47:01
"Traffic Accidents and Safety, Buses, New York City",2017-02-03 01:00:02
"DeVos, Elizabeth (1958- ), Education Department (US), Republican Party, United States Politics and Government, Education (K-12), Charter Schools, Trump, Donald J, Senate, Appointments and Executive Changes",2017-02-03 01:40:24
"Demonstrations, Protests and Riots, Colleges and Universities, University of California, Berkeley, Trump, Donald J, Yiannopoulos, Milo, Spencer, Richard B (1978- ), Fringe Groups and Movements, Inaugurations, United States Politics and Government",2017-02-03 01:58:41
"Crossword Puzzles",2017-02-03 03:00:11
"",2017-02-03 08:03:02
"",2017-02-03 08:03:03
"United States Politics and Government, Senate, McConnell, Mitch, Democratic Party, Republican Party, Trump, Donald J, Gorsuch, Neil M, Supreme Court (US)",2017-02-03 08:21:04
"United States Politics and Government, Jackson, Andrew, Trump, Donald J",2017-02-03 08:21:22
"Trump, Donald J, United States Politics and Government, United States International Relations",2017-02-03 08:21:22
"Bannon, Stephen K, Trump, Donald J, United States Politics and Government, Social Conditions and Trends, Library of Congress",2017-02-03 08:21:22
"Dating and Relationships, Teenagers and Adolescence",2017-02-03 09:04:02
"Dating and Relationships, Sandwiches, Comedy and Humor",2017-02-03 10:00:03
"",2017-02-03 10:00:03
"University of California, Merced, Colleges and Universities, Immigration and Emigration, Deferred Action for Childhood Arrivals, California State University, University of California",2017-02-03 10:00:19
"DeVos, Elizabeth (1958- ), Education Department (US), United States Politics and Government, For-Profit Schools, Charter Schools, Vouchers, Appointments and Executive Changes, Trump, Donald J",2017-02-03 10:00:23
"France, Politics and Government, Nepotism, Ethics (Personal), Fillon, Francois, Legislatures and Parliaments",2017-02-03 10:00:23
"",2017-02-03 10:30:03
"Super Bowl, Yemen, Trump, Donald J",2017-02-03 10:33:00
"New York City",2017-02-03 10:58:37
"Blacks, Race and Ethnicity, Books and Literature, Families and Family Life, Children and Childhood, Parenting, Adoptions",2017-02-03 11:00:04
